Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Malignant neoplasm of ovary,C56,65-74 years,65-74,3902,27550517,14.2
,Malignant neoplasm of ovary,C56,75-84 years,75-84,3385,13923174,24.3
,Malignant neoplasm of ovary,C56,85+ years,85+,1978,6287161,31.5
,Fallopian tube - Malignant neoplasms,C57.0,25-34 years,25-34,1,44137202,Unreliable
,Fallopian tube - Malignant neoplasms,C57.0,35-44 years,35-44,3,40589783,Unreliable
,Fallopian tube - Malignant neoplasms,C57.0,45-54 years,45-54,21,43188161,0
,Fallopian tube - Malignant neoplasms,C57.0,55-64 years,55-64,88,40877819,0.2
,Fallopian tube - Malignant neoplasms,C57.0,65-74 years,65-74,119,27550517,0.4
,Fallopian tube - Malignant neoplasms,C57.0,75-84 years,75-84,103,13923174,0.7
,Fallopian tube - Malignant neoplasms,C57.0,85+ years,85+,30,6287161,0.5
,"Uterine adnexa, unspecified - Malignant neoplasms",C57.4,45-54 years,45-54,2,43188161,Unreliable
,"Uterine adnexa, unspecified - Malignant neoplasms",C57.4,55-64 years,55-64,4,40877819,Unreliable
,"Uterine adnexa, unspecified - Malignant neoplasms",C57.4,65-74 years,65-74,5,27550517,Unreliable
,"Uterine adnexa, unspecified - Malignant neoplasms",C57.4,75-84 years,75-84,5,13923174,Unreliable
,"Uterine adnexa, unspecified - Malignant neoplasms",C57.4,85+ years,85+,6,6287161,Unreliable
,Other specified female genital organs - Malignant neoplasms,C57.7,25-34 years,25-34,1,44137202,Unreliable
,Other specified female genital organs - Malignant neoplasms,C57.7,45-54 years,45-54,2,43188161,Unreliable
,Other specified female genital organs - Malignant neoplasms,C57.7,55-64 years,55-64,2,40877819,Unreliable
,Other specified female genital organs - Malignant neoplasms,C57.7,65-74 years,65-74,3,27550517,Unreliable
,Other specified female genital organs - Malignant neoplasms,C57.7,75-84 years,75-84,8,13923174,Unreliable
,Other specified female genital organs - Malignant neoplasms,C57.7,85+ years,85+,3,6287161,Unreliable
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,5-14 years,5-14,1,41109506,Unreliable
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,25-34 years,25-34,4,44137202,Unreliable
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,35-44 years,35-44,11,40589783,Unreliable
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,45-54 years,45-54,34,43188161,0.1
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,55-64 years,55-64,51,40877819,0.1
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,65-74 years,65-74,77,27550517,0.3
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,75-84 years,75-84,71,13923174,0.5
,"Female genital organ, unspecified - Malignant neoplasms",C57.9,85+ years,85+,75,6287161,1.2
,Malignant neoplasm of placenta,C58,15-24 years,15-24,1,43848216,Unreliable
,Malignant neoplasm of placenta,C58,25-34 years,25-34,5,44137202,Unreliable
,Malignant neoplasm of placenta,C58,35-44 years,35-44,4,40589783,Unreliable
,Malignant neoplasm of placenta,C58,45-54 years,45-54,8,43188161,Unreliable
,Malignant neoplasm of placenta,C58,55-64 years,55-64,3,40877819,Unreliable
,Malignant neoplasm of placenta,C58,65-74 years,65-74,1,27550517,Unreliable
,Malignant neoplasm of placenta,C58,85+ years,85+,1,6287161,Unreliable
,Glans penis - Malignant neoplasms,C60.1,65-74 years,65-74,1,27550517,Unreliable
,Glans penis - Malignant neoplasms,C60.1,75-84 years,75-84,1,13923174,Unreliable
,Body of penis - Malignant neoplasms,C60.2,45-54 years,45-54,2,43188161,Unreliable
,Body of penis - Malignant neoplasms,C60.2,65-74 years,65-74,1,27550517,Unreliable
,"Penis, unspecified - Malignant neoplasms",C60.9,15-24 years,15-24,1,43848216,Unreliable
,"Penis, unspecified - Malignant neoplasms",C60.9,25-34 years,25-34,3,44137202,Unreliable
,"Penis, unspecified - Malignant neoplasms",C60.9,35-44 years,35-44,13,40589783,Unreliable
,"Penis, unspecified - Malignant neoplasms",C60.9,45-54 years,45-54,38,43188161,0.1
,"Penis, unspecified - Malignant neoplasms",C60.9,55-64 years,55-64,47,40877819,0.1
,"Penis, unspecified - Malignant neoplasms",C60.9,65-74 years,65-74,75,27550517,0.3
,"Penis, unspecified - Malignant neoplasms",C60.9,75-84 years,75-84,70,13923174,0.5
,"Penis, unspecified - Malignant neoplasms",C60.9,85+ years,85+,49,6287161,0.8
,Malignant neoplasm of prostate,C61,25-34 years,25-34,4,44137202,Unreliable
,Malignant neoplasm of prostate,C61,35-44 years,35-44,18,40589783,Unreliable
,Malignant neoplasm of prostate,C61,45-54 years,45-54,394,43188161,0.9
,Malignant neoplasm of prostate,C61,55-64 years,55-64,2715,40877819,6.6
,Malignant neoplasm of prostate,C61,65-74 years,65-74,6487,27550517,23.5
,Malignant neoplasm of prostate,C61,75-84 years,75-84,9611,13923174,69
,Malignant neoplasm of prostate,C61,85+ years,85+,9619,6287161,153
,"Testis, unspecified - Malignant neoplasms",C62.9,1-4 years,1-4,1,15929243,Unreliable
,"Testis, unspecified - Malignant neoplasms",C62.9,5-14 years,5-14,2,41109506,Unreliable
,"Testis, unspecified - Malignant neoplasms",C62.9,15-24 years,15-24,31,43848216,0.1
,"Testis, unspecified - Malignant neoplasms",C62.9,25-34 years,25-34,102,44137202,0.2
,"Testis, unspecified - Malignant neoplasms",C62.9,35-44 years,35-44,61,40589783,0.2
,"Testis, unspecified - Malignant neoplasms",C62.9,45-54 years,45-54,69,43188161,0.2
,"Testis, unspecified - Malignant neoplasms",C62.9,55-64 years,55-64,54,40877819,0.1
,"Testis, unspecified - Malignant neoplasms",C62.9,65-74 years,65-74,21,27550517,0.1
,"Testis, unspecified - Malignant neoplasms",C62.9,75-84 years,75-84,24,13923174,0.2
,"Testis, unspecified - Malignant neoplasms",C62.9,85+ years,85+,9,6287161,Unreliable
,Epididymis - Malignant neoplasms,C63.0,15-24 years,15-24,1,43848216,Unreliable
,Spermatic cord - Malignant neoplasms,C63.1,45-54 years,45-54,1,43188161,Unreliable
,Spermatic cord - Malignant neoplasms,C63.1,55-64 years,55-64,1,40877819,Unreliable
,Spermatic cord - Malignant neoplasms,C63.1,65-74 years,65-74,2,27550517,Unreliable
,Scrotum - Malignant neoplasms,C63.2,45-54 years,45-54,1,43188161,Unreliable
,Scrotum - Malignant neoplasms,C63.2,55-64 years,55-64,1,40877819,Unreliable
,Scrotum - Malignant neoplasms,C63.2,65-74 years,65-74,3,27550517,Unreliable
,Scrotum - Malignant neoplasms,C63.2,75-84 years,75-84,4,13923174,Unreliable
,Scrotum - Malignant neoplasms,C63.2,85+ years,85+,1,6287161,Unreliable
,Other specified male genital organs - Malignant neoplasms,C63.7,65-74 years,65-74,1,27550517,Unreliable
,"Male genital organ, unspecified - Malignant neoplasms",C63.9,45-54 years,45-54,3,43188161,Unreliable
,"Male genital organ, unspecified - Malignant neoplasms",C63.9,55-64 years,55-64,2,40877819,Unreliable
,"Male genital organ, unspecified - Malignant neoplasms",C63.9,65-74 years,65-74,10,27550517,Unreliable
,"Male genital organ, unspecified - Malignant neoplasms",C63.9,75-84 years,75-84,19,13923174,Unreliable
,"Male genital organ, unspecified - Malignant neoplasms",C63.9,85+ years,85+,12,6287161,Unreliable
,"Malignant neoplasm of kidney, except renal pelvis",C64,< 1 year,1,5,3978038,Unreliable
,"Malignant neoplasm of kidney, except renal pelvis",C64,1-4 years,1-4,11,15929243,Unreliable
,"Malignant neoplasm of kidney, except renal pelvis",C64,5-14 years,5-14,20,41109506,0
,"Malignant neoplasm of kidney, except renal pelvis",C64,15-24 years,15-24,28,43848216,0.1
,"Malignant neoplasm of kidney, except renal pelvis",C64,25-34 years,25-34,65,44137202,0.1
,"Malignant neoplasm of kidney, except renal pelvis",C64,35-44 years,35-44,225,40589783,0.6
,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,1061,43188161,2.5
,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,3031,40877819,7.4
,"Malignant neoplasm of kidney, except renal pelvis",C64,65-74 years,65-74,4015,27550517,14.6
,"Malignant neoplasm of kidney, except renal pelvis",C64,75-84 years,75-84,3478,13923174,25
,"Malignant neoplasm of kidney, except renal pelvis",C64,85+ years,85+,2291,6287161,36.4
,Malignant neoplasm of renal pelvis,C65,35-44 years,35-44,2,40589783,Unreliable
,Malignant neoplasm of renal pelvis,C65,45-54 years,45-54,7,43188161,Unreliable
,Malignant neoplasm of renal pelvis,C65,55-64 years,55-64,46,40877819,0.1
,Malignant neoplasm of renal pelvis,C65,65-74 years,65-74,57,27550517,0.2
,Malignant neoplasm of renal pelvis,C65,75-84 years,75-84,59,13923174,0.4
,Malignant neoplasm of renal pelvis,C65,85+ years,85+,47,6287161,0.7
,Malignant neoplasm of ureter,C66,35-44 years,35-44,2,40589783,Unreliable
,Malignant neoplasm of ureter,C66,45-54 years,45-54,7,43188161,Unreliable
,Malignant neoplasm of ureter,C66,55-64 years,55-64,41,40877819,0.1
,Malignant neoplasm of ureter,C66,65-74 years,65-74,100,27550517,0.4
,Malignant neoplasm of ureter,C66,75-84 years,75-84,152,13923174,1.1
,Malignant neoplasm of ureter,C66,85+ years,85+,119,6287161,1.9
,Trigone of bladder - Malignant neoplasms,C67.0,45-54 years,45-54,1,43188161,Unreliable
,Trigone of bladder - Malignant neoplasms,C67.0,55-64 years,55-64,1,40877819,Unreliable
,Trigone of bladder - Malignant neoplasms,C67.0,65-74 years,65-74,1,27550517,Unreliable
,Trigone of bladder - Malignant neoplasms,C67.0,75-84 years,75-84,2,13923174,Unreliable
,Trigone of bladder - Malignant neoplasms,C67.0,85+ years,85+,3,6287161,Unreliable
,Dome of bladder - Malignant neoplasms,C67.1,85+ years,85+,1,6287161,Unreliable
,Lateral wall of bladder - Malignant neoplasms,C67.2,65-74 years,65-74,1,27550517,Unreliable
,Lateral wall of bladder - Malignant neoplasms,C67.2,75-84 years,75-84,1,13923174,Unreliable
,Posterior wall of bladder - Malignant neoplasms,C67.4,65-74 years,65-74,1,27550517,Unreliable
,Posterior wall of bladder - Malignant neoplasms,C67.4,75-84 years,75-84,1,13923174,Unreliable
,Bladder neck - Malignant neoplasms,C67.5,45-54 years,45-54,1,43188161,Unreliable
,Bladder neck - Malignant neoplasms,C67.5,55-64 years,55-64,1,40877819,Unreliable
,Bladder neck - Malignant neoplasms,C67.5,65-74 years,65-74,6,27550517,Unreliable
,Bladder neck - Malignant neoplasms,C67.5,75-84 years,75-84,5,13923174,Unreliable
,Bladder neck - Malignant neoplasms,C67.5,85+ years,85+,3,6287161,Unreliable
,Ureteric orifice - Malignant neoplasms,C67.6,75-84 years,75-84,2,13923174,Unreliable
,Urachus - Malignant neoplasms,C67.7,15-24 years,15-24,1,43848216,Unreliable
,Urachus - Malignant neoplasms,C67.7,25-34 years,25-34,3,44137202,Unreliable
,Urachus - Malignant neoplasms,C67.7,35-44 years,35-44,3,40589783,Unreliable
,Urachus - Malignant neoplasms,C67.7,45-54 years,45-54,6,43188161,Unreliable
,Urachus - Malignant neoplasms,C67.7,55-64 years,55-64,4,40877819,Unreliable
,Urachus - Malignant neoplasms,C67.7,65-74 years,65-74,6,27550517,Unreliable
,Urachus - Malignant neoplasms,C67.7,75-84 years,75-84,2,13923174,Unreliable
,Overlapping lesion of bladder - Malignant neoplasms,C67.8,75-84 years,75-84,2,13923174,Unreliable
,"Bladder, unspecified - Malignant neoplasms",C67.9,15-24 years,15-24,1,43848216,Unreliable
,"Bladder, unspecified - Malignant neoplasms",C67.9,25-34 years,25-34,12,44137202,Unreliable
,"Bladder, unspecified - Malignant neoplasms",C67.9,35-44 years,35-44,65,40589783,0.2
,"Bladder, unspecified - Malignant neoplasms",C67.9,45-54 years,45-54,489,43188161,1.1
,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,1811,40877819,4.4
,"Bladder, unspecified - Malignant neoplasms",C67.9,65-74 years,65-74,3605,27550517,13.1
,"Bladder, unspecified - Malignant neoplasms",C67.9,75-84 years,75-84,5132,13923174,36.9
,"Bladder, unspecified - Malignant neoplasms",C67.9,85+ years,85+,5081,6287161,80.8
,Urethra - Malignant neoplasms,C68.0,25-34 years,25-34,1,44137202,Unreliable
,Urethra - Malignant neoplasms,C68.0,35-44 years,35-44,4,40589783,Unreliable
,Urethra - Malignant neoplasms,C68.0,45-54 years,45-54,11,43188161,Unreliable
,Urethra - Malignant neoplasms,C68.0,55-64 years,55-64,43,40877819,0.1
,Urethra - Malignant neoplasms,C68.0,65-74 years,65-74,73,27550517,0.3
,Urethra - Malignant neoplasms,C68.0,75-84 years,75-84,74,13923174,0.5
,Urethra - Malignant neoplasms,C68.0,85+ years,85+,47,6287161,0.7
,Paraurethral gland - Malignant neoplasms,C68.1,85+ years,85+,1,6287161,Unreliable
,"Urinary organ, unspecified - Malignant neoplasms",C68.9,35-44 years,35-44,1,40589783,Unreliable
,"Urinary organ, unspecified - Malignant neoplasms",C68.9,45-54 years,45-54,4,43188161,Unreliable
,"Urinary organ, unspecified - Malignant neoplasms",C68.9,55-64 years,55-64,19,40877819,Unreliable
,"Urinary organ, unspecified - Malignant neoplasms",C68.9,65-74 years,65-74,56,27550517,0.2
,"Urinary organ, unspecified - Malignant neoplasms",C68.9,75-84 years,75-84,86,13923174,0.6
,"Urinary organ, unspecified - Malignant neoplasms",C68.9,85+ years,85+,83,6287161,1.3
,Conjunctiva - Malignant neoplasms,C69.0,65-74 years,65-74,1,27550517,Unreliable
,Conjunctiva - Malignant neoplasms,C69.0,75-84 years,75-84,1,13923174,Unreliable
,Cornea - Malignant neoplasms,C69.1,65-74 years,65-74,1,27550517,Unreliable
,Retina - Malignant neoplasms,C69.2,< 1 year,1,1,3978038,Unreliable
,Retina - Malignant neoplasms,C69.2,1-4 years,1-4,3,15929243,Unreliable
,Retina - Malignant neoplasms,C69.2,5-14 years,5-14,2,41109506,Unreliable
,Retina - Malignant neoplasms,C69.2,15-24 years,15-24,1,43848216,Unreliable
,Retina - Malignant neoplasms,C69.2,35-44 years,35-44,1,40589783,Unreliable
,Retina - Malignant neoplasms,C69.2,55-64 years,55-64,4,40877819,Unreliable
,Retina - Malignant neoplasms,C69.2,65-74 years,65-74,1,27550517,Unreliable
,Retina - Malignant neoplasms,C69.2,75-84 years,75-84,1,13923174,Unreliable
,Retina - Malignant neoplasms,C69.2,85+ years,85+,2,6287161,Unreliable
,Choroid - Malignant neoplasms,C69.3,15-24 years,15-24,1,43848216,Unreliable
,Choroid - Malignant neoplasms,C69.3,45-54 years,45-54,3,43188161,Unreliable
,Choroid - Malignant neoplasms,C69.3,55-64 years,55-64,16,40877819,Unreliable
,Choroid - Malignant neoplasms,C69.3,65-74 years,65-74,9,27550517,Unreliable
,Choroid - Malignant neoplasms,C69.3,75-84 years,75-84,8,13923174,Unreliable
,Choroid - Malignant neoplasms,C69.3,85+ years,85+,6,6287161,Unreliable
,Ciliary body - Malignant neoplasms,C69.4,25-34 years,25-34,2,44137202,Unreliable
,Ciliary body - Malignant neoplasms,C69.4,35-44 years,35-44,1,40589783,Unreliable
,Ciliary body - Malignant neoplasms,C69.4,45-54 years,45-54,3,43188161,Unreliable
,Ciliary body - Malignant neoplasms,C69.4,55-64 years,55-64,4,40877819,Unreliable
,Ciliary body - Malignant neoplasms,C69.4,65-74 years,65-74,5,27550517,Unreliable
,Ciliary body - Malignant neoplasms,C69.4,75-84 years,75-84,3,13923174,Unreliable
,Lacrimal gland and duct - Malignant neoplasms,C69.5,35-44 years,35-44,2,40589783,Unreliable
,Lacrimal gland and duct - Malignant neoplasms,C69.5,45-54 years,45-54,5,43188161,Unreliable
,Lacrimal gland and duct - Malignant neoplasms,C69.5,55-64 years,55-64,6,40877819,Unreliable
,Lacrimal gland and duct - Malignant neoplasms,C69.5,65-74 years,65-74,3,27550517,Unreliable
,Lacrimal gland and duct - Malignant neoplasms,C69.5,75-84 years,75-84,3,13923174,Unreliable
,Lacrimal gland and duct - Malignant neoplasms,C69.5,85+ years,85+,1,6287161,Unreliable
,Orbit - Malignant neoplasms,C69.6,35-44 years,35-44,2,40589783,Unreliable
,Orbit - Malignant neoplasms,C69.6,45-54 years,45-54,2,43188161,Unreliable
,Orbit - Malignant neoplasms,C69.6,55-64 years,55-64,5,40877819,Unreliable
,Orbit - Malignant neoplasms,C69.6,65-74 years,65-74,6,27550517,Unreliable
,Orbit - Malignant neoplasms,C69.6,75-84 years,75-84,9,13923174,Unreliable
,Orbit - Malignant neoplasms,C69.6,85+ years,85+,13,6287161,Unreliable
,Overlapping lesion of eye and adnexa - Malignant neoplasms,C69.8,55-64 years,55-64,1,40877819,Unreliable
,"Eye, unspecified - Malignant neoplasms",C69.9,15-24 years,15-24,1,43848216,Unreliable
,"Eye, unspecified - Malignant neoplasms",C69.9,25-34 years,25-34,4,44137202,Unreliable
,"Eye, unspecified - Malignant neoplasms",C69.9,35-44 years,35-44,5,40589783,Unreliable
,"Eye, unspecified - Malignant neoplasms",C69.9,45-54 years,45-54,20,43188161,0
,"Eye, unspecified - Malignant neoplasms",C69.9,55-64 years,55-64,39,40877819,0.1
,"Eye, unspecified - Malignant neoplasms",C69.9,65-74 years,65-74,58,27550517,0.2
,"Eye, unspecified - Malignant neoplasms",C69.9,75-84 years,75-84,42,13923174,0.3
,"Eye, unspecified - Malignant neoplasms",C69.9,85+ years,85+,27,6287161,0.4
,Cerebral meninges - Malignant neoplasms,C70.0,35-44 years,35-44,2,40589783,Unreliable
,Cerebral meninges - Malignant neoplasms,C70.0,45-54 years,45-54,3,43188161,Unreliable
,Cerebral meninges - Malignant neoplasms,C70.0,55-64 years,55-64,6,40877819,Unreliable
,Cerebral meninges - Malignant neoplasms,C70.0,65-74 years,65-74,11,27550517,Unreliable
,Cerebral meninges - Malignant neoplasms,C70.0,75-84 years,75-84,6,13923174,Unreliable
,Cerebral meninges - Malignant neoplasms,C70.0,85+ years,85+,5,6287161,Unreliable
,Spinal meninges - Malignant neoplasms,C70.1,75-84 years,75-84,1,13923174,Unreliable
,"Meninges, unspecified - Malignant neoplasms",C70.9,25-34 years,25-34,2,44137202,Unreliable
,"Meninges, unspecified - Malignant neoplasms",C70.9,35-44 years,35-44,3,40589783,Unreliable
,"Meninges, unspecified - Malignant neoplasms",C70.9,45-54 years,45-54,16,43188161,Unreliable
,"Meninges, unspecified - Malignant neoplasms",C70.9,55-64 years,55-64,19,40877819,Unreliable
,"Meninges, unspecified - Malignant neoplasms",C70.9,65-74 years,65-74,35,27550517,0.1
,"Meninges, unspecified - Malignant neoplasms",C70.9,75-84 years,75-84,22,13923174,0.2
,"Meninges, unspecified - Malignant neoplasms",C70.9,85+ years,85+,23,6287161,0.4
